12.2588 	EXP 	image_2: autoDraw = True
12.2588 	EXP 	Arousalimage: autoDraw = True
12.2588 	EXP 	slider_arousal: autoDraw = True
12.2588 	EXP 	text_2: autoDraw = True
12.2588 	EXP 	text_4: autoDraw = True
12.5013 	DATA 	Keypress: space
12.5030 	EXP 	New trial (rep=0, index=7): OrderedDict([('words', 'coward'), ('images', None)])
12.5246 	EXP 	text_5: autoDraw = False
12.5246 	EXP 	image_2: autoDraw = False
12.5246 	EXP 	Arousalimage: autoDraw = False
12.5246 	EXP 	slider_arousal: autoDraw = False
12.5246 	EXP 	text_2: autoDraw = False
12.5246 	EXP 	text_4: autoDraw = False
12.5246 	EXP 	text_6: text = 'coward'
12.5246 	EXP 	image_1: image = None
12.5246 	EXP 	slider_valence: markerPos = None
12.5246 	EXP 	slider_valence: markerPos = None
12.5246 	EXP 	slider_valence: rating = None
12.5246 	EXP 	text_6: autoDraw = True
12.5246 	EXP 	image_1: autoDraw = True
12.5246 	EXP 	ValenceImg: autoDraw = True
12.5246 	EXP 	slider_valence: autoDraw = True
12.5246 	EXP 	text: autoDraw = True
12.5246 	EXP 	text_3: autoDraw = True
12.7512 	DATA 	Keypress: space
12.7674 	EXP 	text_6: autoDraw = False
12.7674 	EXP 	image_1: autoDraw = False
12.7674 	EXP 	ValenceImg: autoDraw = False
12.7674 	EXP 	slider_valence: autoDraw = False
12.7674 	EXP 	text: autoDraw = False
12.7674 	EXP 	text_3: autoDraw = False
12.7674 	EXP 	text_5: text = 'coward'
12.7674 	EXP 	image_2: image = None
12.7674 	EXP 	slider_arousal: markerPos = None
12.7674 	EXP 	slider_arousal: markerPos = None
12.7674 	EXP 	slider_arousal: rating = None
12.7674 	EXP 	text_5: autoDraw = True
12.7674 	EXP 	image_2: autoDraw = True
12.7674 	EXP 	Arousalimage: autoDraw = True
12.7674 	EXP 	slider_arousal: autoDraw = True
12.7674 	EXP 	text_2: autoDraw = True
12.7674 	EXP 	text_4: autoDraw = True
13.0349 	DATA 	Keypress: space
13.0370 	EXP 	New trial (rep=0, index=8): OrderedDict([('words', None), ('images', 'Pictures/1070.jpg')])
13.0921 	EXP 	text_5: autoDraw = False
13.0921 	EXP 	image_2: autoDraw = False
13.0921 	EXP 	Arousalimage: autoDraw = False
13.0921 	EXP 	slider_arousal: autoDraw = False
13.0921 	EXP 	text_2: autoDraw = False
13.0921 	EXP 	text_4: autoDraw = False
